100100 010100 010011 000101 0010
000000 111000 010000 000000 0000
000000 110000 100001 000000 0100
000000 101000 110010 000000 1000
000000 100000 000011 000001 0011
000000 011000 010100 000001 0000
000000 010000 100101 000001 1000
000000 001000 110110 000001 1000
000000 000000 000111 000010 0000
000000 111000 010111 000010 0010
000000 110000 101000 000010 1011
000000 100000 111001 000010 0100
000000 011000 001010 000011 1000
000000 010000 011011 000011 1010
000000 001000 101100 000011 1111
000000 000000 111101 000011 0100
000000 111000 001101 000100 0000
000000 110000 011110 000100 1010
000000 101000 101111 000100 0010
000000 100000 000000 000101 0011
000000 011000 010001 000101 0000
000000 001000 100010 000101 0101
000000 000000 110011 000101 1100
000000 111000 000011 000110 0000
000000 110000 010100 000110 0000
000000 101000 100101 000110 1000
000000 100000 110110 000110 1000
000000 011000 000111 000111 1000
000000 010000 011000 000111 1000
000000 001000 101001 000111 1100
000000 000000 111010 000111 1000
000000 110000 001010 001000 0000
000000 101000 011011 001000 1010
000000 100000 101100 001000 1111
000000 011000 111101 001000 0100
000000 010000 001110 001001 0000
000000 001000 011111 001001 1010
000000 000000 110000 001001 0000
000000 111000 000000 001010 0000
000000 110000 010001 001010 0000
000000 101000 100010 001010 0101
000000 011000 110011 001010 1100
000000 010000 000100 001011 0000
000000 001000 010101 001011 0000
000000 000000 100110 001011 1001
000000 111000 110110 001011 1000
000000 110000 000111 001100 0000
000000 101000 011000 001100 1000
000000 100000 101001 001100 1100
000000 011000 111010 001100 1000
000000 010000 001011 001101 0000
000000 000000 011100 001101 1000
000000 111000 101100 001101 1111
000000 110000 111101 001101 0100
000000 101000 001110 001110 1011
000000 100000 011111 001110 1010
000000 011000 110000 001110 0000
000000 010000 000001 001111 0000
000000 001000 010010 001111 0010
000000 000000 100011 001111 0110
000000 111000 110011 001111 1100
000000 101000 000100 010000 0000
000000 100000 010101 010000 0000
000000 011000 100110 010000 0000
000000 010000 110111 010000 0000
000000 001000 001000 010001 0000
000000 000000 011001 010001 0000
000000 111000 101001 010001 0000
000000 110000 111010 010001 0000
000000 101000 001011 010010 0010
000000 100000 011100 010010 0010
000000 010000 101101 010010 0010
000000 001000 111110 010010 0010
000000 000000 001111 010011 0010
000000 111000 011111 010011 0010
